length, entropy, alexa_grams, word_grams, diff, class
6,2.584963,8.068822,7.334623,0.7342,legit
5,2.321928,5.892247,10.041252,-4.149006,legit
7,2.521641,9.784089,15.403677,-5.619588,legit
12,3.251629,31.680486,34.236424,-2.555939,legit
10,2.921928,18.391082,23.49957,-5.108488,legit
14,3.039149,37.87661,64.968281,-27.091671,legit
15,3.189898,45.880329,52.762983,-6.882654,legit
14,3.664498,53.690833,53.201553,0.489281,legit
7,2.235926,13.269124,15.935602,-2.666478,legit
11,3.277613,19.827321,18.513442,1.313879,legit
7,2.521641,6.411485,2.255273,4.156213,legit
20,3.584184,60.036736,70.761252,-10.724516,legit
16,3.155639,54.172705,62.268147,-8.095442,legit
10,2.646439,39.654881,51.20724,-11.55236,legit
6,1.918296,11.681673,20.029292,-8.347619,legit
16,2.95282,59.312596,55.101001,4.211594,legit
7,2.521641,10.084557,13.253948,-3.169391,legit
11,2.913977,30.142345,46.878666,-16.736321,legit
10,2.321928,38.544573,41.509571,-2.964998,legit
8,2.75,12.89322,10.778467,2.114753,legit
13,2.873141,46.099547,58.553018,-12.45347,legit
5,1.921928,4.2923,4.613905,-0.321605,legit
6,2.584963,9.572706,13.070909,-3.498203,legit
11,3.095795,33.002459,51.105621,-18.103163,legit
9,2.947703,23.667367,32.125478,-8.458111,legit
10,2.646439,27.963683,35.246642,-7.282959,legit
11,2.663533,39.38943,48.627217,-9.237787,legit
13,3.392747,40.737608,57.512145,-16.774537,legit
13,2.873141,44.663663,56.87978,-12.216118,legit
11,3.095795,31.428955,23.450628,7.978327,legit
6,2.251629,10.368966,20.502008,-10.133042,legit
11,2.913977,27.686168,35.463354,-7.777187,legit
10,2.921928,22.4454,22.877574,-0.432174,legit
13,3.085055,45.515773,60.344439,-14.828667,legit
8,3,29.123222,33.240224,-4.117002,legit
7,2.521641,26.77247,34.045883,-7.273413,legit
19,3.721612,91.282947,95.43242,-4.149473,legit
21,3.689704,102.234086,114.727614,-12.493528,legit
9,2.725481,16.847733,21.104809,-4.257076,legit
6,2.251629,7.833082,8.658437,-0.825356,legit
15,3.323231,57.491649,66.39278,-8.901132,legit
15,3.189898,59.024135,67.965471,-8.941337,legit
14,3.093069,64.892246,88.046963,-23.154717,legit
9,2.725481,15.613518,13.769786,1.843732,legit
11,2.23127,39.101411,57.787417,-18.686006,legit
10,2.646439,28.923465,33.133058,-4.209594,legit
11,2.913977,24.099462,28.824333,-4.724871,legit
12,2.855389,30.280756,40.713832,-10.433077,legit
9,2.725481,21.775649,31.428612,-9.652963,legit
10,2.921928,33.239809,41.136404,-7.896594,legit
9,2.503258,38.940413,49.075148,-10.134734,legit
15,3.189898,62.433455,74.745896,-12.312441,legit
8,2.5,18.835552,26.642376,-7.806824,legit
26,3.92103,126.436886,130.276038,-3.839152,legit
21,3.522572,107.121021,130.675072,-23.554051,legit
10,3.121928,24.549611,37.919488,-13.369877,legit
14,3.235926,37.760104,54.675462,-16.915357,legit
17,3.410417,63.948212,77.872111,-13.923899,legit
14,3.182006,54.541841,71.851069,-17.309227,legit
8,3,16.251172,34.505581,-18.254409,legit
18,3.836592,78.930551,93.131043,-14.200492,legit
12,2.688722,48.824677,62.387253,-13.562576,legit
12,3.084963,23.617383,26.522789,-2.905406,legit
22,3.2433,112.226495,149.693919,-37.467423,legit
8,2.5,34.358101,40.964879,-6.606778,legit
12,2.522055,21.896403,20.935021,0.961382,legit
19,3.431624,93.212751,108.518697,-15.305946,legit
11,3.095795,50.684033,76.552821,-25.868788,legit
5,2.321928,8.886596,11.009716,-2.123119,legit
9,2.725481,29.851624,35.110789,-5.259165,legit
7,2.521641,18.34076,23.741224,-5.400463,legit
15,3.323231,57.135894,77.114917,-19.979023,legit
7,2.521641,17.005188,24.007073,-7.001885,legit
5,2.321928,8.074693,8.845078,-0.770384,legit
11,2.413088,25.469389,23.155024,2.314365,legit
10,2.646439,36.399253,42.611504,-6.212251,legit
12,3.022055,35.39147,49.278952,-13.887483,legit
8,2,8.089947,2.632457,5.45749,legit
11,2.913977,48.80768,42.983021,5.824659,legit
16,3.07782,52.200789,65.136062,-12.935273,legit
20,3.441446,62.937319,87.315511,-24.378192,legit
7,2.521641,19.954953,22.42049,-2.465537,legit
14,3.039149,64.125044,73.236982,-9.111939,legit
15,3.189898,63.553327,87.987296,-24.433969,legit
6,1.918296,13.223257,20.863522,-7.640265,legit
8,2.75,20.112095,17.922571,2.189524,legit
19,3.32636,63.210054,72.392403,-9.18235,legit
12,3.022055,49.496886,65.425945,-15.929059,legit
11,3.027169,29.548112,39.11596,-9.567848,legit
14,2.950212,53.135177,60.037956,-6.902779,legit
9,2.725481,25.431882,18.104492,7.32739,legit
11,3.459432,45.314489,59.593514,-14.279024,legit
21,3.105672,91.769405,125.093388,-33.323983,legit
13,3.392747,43.794101,56.752381,-12.958281,legit
11,2.550341,37.788897,52.882308,-15.093412,legit
11,2.413088,37.71088,48.34502,-10.63414,legit
5,1.921928,4.674402,5.026431,-0.352029,legit
10,3.121928,42.378144,50.248912,-7.870768,legit
9,2.947703,35.484492,46.008001,-10.523508,legit
11,3.027169,34.818486,40.346548,-5.528062,legit
13,2.931209,52.171518,65.006426,-12.834908,legit
6,2.251629,6.567499,5.182129,1.38537,legit
15,3.056565,56.112497,80.443489,-24.330992,legit
14,3.378783,45.044667,53.295945,-8.251277,legit
13,3.085055,27.960345,36.469355,-8.50901,legit
8,2.5,15.676976,21.257243,-5.580267,legit
7,2.521641,19.123579,25.230109,-6.10653,legit
7,2.521641,26.3534,36.706099,-10.352699,legit
16,3.75,69.317222,73.725187,-4.407965,legit
10,2.721928,43.01256,56.040518,-13.027958,legit
12,3.084963,59.37095,72.216479,-12.845529,legit
12,3.084963,43.626943,51.106543,-7.4796,legit
